Block,Time,Class,Day
1,8:00-8:30,7/8th grade - Morning Meeting - 6th grade - Morning Meeting - 5th grade - Morning Meeting,Monday
2,8:30-9:20,7/8th grade - Art - 6th grade - Hebrew - 5th grade - Math,Monday
3,9:20-10:15,7/8th grade - Z’man Kodesh - 6th grade - Z'man Kodesh - 5th grade - Z'man Kodesh,Monday
4,10:15-11:00,7/8th grade - Science - 6th grade - Social Studies - 5th grade - Language Arts,Monday
5,11:00-11:45,7/8th grade - Social Studies - 6th grade - Science - 5th grade - Social Thinking,Monday
6,11:45-12:35,7/8th grade - Language Arts - 6th grade - Math - 5th grade - Hebrew,Monday
7,12:35-1:05,7/8th grade - Recess - 6th grade - Recess - 5th grade - Recess,Monday
8,1:05-1:25,7/8th grade - Lunch - 6th grade - Lunch - 5th grade - Lunch,Monday
9,1:25-2:10,7/8th grade - Tech Time/Math - 6th grade - Language Arts - 5th grade - Science,Monday
10,2:10-3:00,7/8th grade - Math - 6th grade - Jewish Studies - 5th grade - Social Stuies,Monday
1,8:00-8:45,7/8th grade - Hebrew - 6th grade - Language Arts - 5th grade - Social Studies,Tuesday
2,8:45-9:30,7/8th grade - Social Studies - 6th grade - Language Arts - 5th grade - Library,Tuesday
3,9:30-10:15,7/8th grade - Jewish Studies - 6th grade - Social Studies - 5th grade - Jewish Studies,Tuesday
4,10:15-11:00,7/8th grade - Math/Tech Time - 6th grade - Hebrew - 5th grade - Music,Tuesday
5,11:00-11:45,7/8th grade - Language Arts - 6th grade - Music - 5th grade - Hebrew,Tuesday
6,11:45-12:35,7/8th grade - Language Arts - 6th grade - Jewish Studies - 5th grade - Rabbi Samantha,Tuesday
7,12:35-1:05,7/8th grade - Recess - 6th grade - Recess - 5th grade - Recess,Tuesday
8,1:05-1:25,7/8th grade - Lunch - 6th grade - Lunch - 5th grade - Lunch,Tuesday
9,1:25-2:10,7/8th grade - Music - 6th grade - Math - 5th grade - Language Arts,Tuesday
10,2:10-3:00,7/8th grade - Jewish Studies - 6th grade - Tech Time - 5th grade - Math,Tuesday
1,8:00-8:45,7/8th grade - Social Studies - 6th grade - PE - 5th grade - Jewish Studies,Wednesday
2,8:45-9:30,7/8th grade - Hebrew/Math - 6th grade - Language Arts - 5th grade - Science,Wednesday
3,9:30-10:15,7/8th grade - Language Arts - 6th grade - Science - 5th grade - Hebrew,Wednesday
4,10:15-11:00,7/8th grade - Social Thinking - 6th grade - Hebrew - 5th grade - Math,Wednesday
5,11:00-11:45,7/8th grade - Science - 6th grade - Jewish Studies - 5th grade - Social Studies,Wednesday
6,11:45-12:35,7/8th grade - Leadership - 6th grade - Library - 5th grade - Tech Time,Wednesday
7,12:35-1:05,7/8th grade - Recess - 6th grade - Recess - 5th grade - Recess,Wednesday
8,1:05-1:25,7/8th grade - Lunch - 6th grade - Lunch - 5th grade - Lunch,Wednesday
9,1:25-2:10,7/8th grade - Math/Science - 6th grade - Social Studies - 5th grade - Language Arts,Wednesday
10,2:10-3:00,7/8th grade - Jewish Studies - 6th grade - Math - 5th grade - PE,Wednesday
1,8:00-8:45,7/8th grade - Jewish Studies - 6th grade - Math - 5th grade - Language Arts,Thursday
2,8:45-9:30,7/8th grade - Language Arts - 6th grade - Art - 5th grade - Z'man Kodesh,Thursday
3,9:30-10:15,7/8th grade - Z’man Kodesh - 6th grade - Z'man Kodesh - 5th grade - Math,Thursday
4,10:15-11:00,7/8th grade - Math/HS Prep - 6th grade - Social Studies - 5th grade - Hebrew,Thursday
5,11:00-11:45,7/8th grade - PE - 6th grade - Jewish Studies - 5th grade - Art,Thursday
6,11:45-12:35,7/8th grade - Social Studies - 6th grade - Hebrew - 5th grade - PE,Thursday
7,12:35-1:05,7/8th grade - Recess - 6th grade - Recess - 5th grade - Recess,Thursday
8,1:05-1:25,7/8th grade - Lunch - 6th grade - Lunch - 5th grade - Lunch,Thursday
9,1:25-2:10,7/8th grade - Hebrew - 6th grade - Social Thinking - 5th grade - Jewish Studies,Thursday
10,2:10-3:00,7/8th grade - Study Hall/Math - 6th grade - Language Arts - 5th grade - Social Studies,Thursday
1,8:00-8:50,7/8th grade - PE - 6th grade - Language Arts - 5th grade - Org Skills,Friday
2,8:50-9:40,7/8th grade - Science - 6th grade - PE - 5th grade - Hebrew,Friday
3,9:40-10:30,7/8th grade - Hebrew - 6th grade - Math - 5th grade - Science,Friday
4,10:30-11:20,7/8th grade - Language Arts - 6th grade - Science - 5th grade - Math,Friday
5,11:20-12:10,7/8th grade - Electives - 6th grade - Electives - 5th grade - Electives,Friday
6,12:10-12:40,7/8th grade - Recess - 6th grade - Recess - 5th grade - Recess,Friday
7,12:40-1:00,7/8th grade - Lunch - 6th grade - Lunch - 5th grade - Lunch,Friday
8,1:00-1:45,7/8th grade - Math/Tech Help - 6th grade - Org Skills - 5th grade - Language Arts,Friday
9,1:45-2:00,7/8th grade - Advisory - 6th grade - Advisory - 5th grade - Advisory,Friday
10,2:00-2:30,7/8th grade - Kabbalat Shabbat - 6th grade - Kabbalat Shabbat - 5th grade - Kabbalat Shabbat,Friday
